time_seconds,detector_response,trigger
-0.0180000,0.000000000000,0
-0.0175000,0.000000000000,0
-0.0170000,0.000000000000,0
-0.0165000,0.000000000000,0
-0.0160000,0.000000000000,0
-0.0155000,0.000000000000,0
-0.0150000,0.000000000000,0
-0.0145000,0.000000000000,0
-0.0140000,0.000000000000,0
-0.0135000,0.000000000000,0
-0.0130000,0.000000000000,0
-0.0125000,0.000000000000,0
-0.0120000,0.000000000000,0
-0.0115000,0.000000000000,0
-0.0110000,0.000000000000,0
-0.0105000,0.000000000000,0
-0.0100000,0.000000000000,0
-0.0095000,0.000000000000,0
-0.0090000,0.000000000000,0
-0.0085000,0.000000000000,0
-0.0080000,0.000000000000,0
-0.0075000,0.000000000000,0
-0.0070000,0.000000000000,0
-0.0065000,0.000000000000,0
-0.0060000,0.000000000000,0
-0.0055000,0.000000000000,0
-0.0050000,0.000000000000,0
-0.0045000,0.000000000000,0
-0.0040000,0.000000000000,0
-0.0035000,0.000000000000,0
-0.0030000,0.000000000000,0
-0.0025000,0.000000000000,0
-0.0020000,0.000000000000,0
-0.0015000,0.000000000000,0
-0.0010000,0.000000000000,0
-0.0005000,0.000000000000,0
0.0000000,0.000000000000,0
0.0005000,0.000000000000,0
0.0010000,0.000000000000,0
0.0015000,0.000000000000,0
0.0020000,0.000000000000,1
0.0025000,0.031459460343,1
0.0030000,0.059971162398,1
0.0035000,0.083362119230,1
0.0040000,0.100342337489,1
0.0045000,0.110740973246,1
0.0050000,0.115538339782,1
0.0055000,0.116687929295,1
0.0060000,0.116760912156,1
0.0065000,0.118477957483,1
0.0070000,0.124213771505,1
0.0075000,0.135564726459,1
0.0080000,0.153058445008,1
0.0085000,0.176058312380,1
0.0090000,0.202880333507,1
0.0095000,0.231101020549,1
0.0100000,0.258000152130,1
0.0105000,0.281057644942,1
0.0110000,0.298413908208,1
0.0115000,0.309209712261,1
0.0120000,0.313743579197,1
0.0125000,0.313417987630,1
0.0130000,0.310484204030,1
0.0135000,0.307632283759,1
0.0140000,0.307501026053,1
0.0145000,0.312197267656,1
0.0150000,0.322912196434,1
0.0155000,0.339704669771,1
0.0160000,0.361491060798,1
0.0165000,0.386243484659,1
0.0170000,0.411360248396,1
0.0175000,0.434140954317,1
0.0180000,0.452279597845,1
0.0185000,0.464285718657,1
0.0190000,0.469756787014,1
0.0195000,0.469452142019,1
0.0200000,0.465154995533,1
0.0205000,0.459347672512,1
0.0210000,0.454759324233,1
0.0215000,0.453868611983,1
0.0220000,0.458452072139,1
0.0225000,0.469260541285,1
0.0230000,0.485882661749,1
0.0235000,0.506820364397,1
0.0240000,0.529762560670,1
0.0245000,0.552007122421,1
0.0250000,0.570954180271,1
0.0255000,0.584580762678,1
0.0260000,0.591810201372,1
0.0265000,0.592708923494,1
0.0270000,0.588474735542,1
0.0275000,0.581218736255,1
0.0280000,0.573580637779,1
0.0285000,0.568247660887,1
0.0290000,0.567464758189,1
0.0295000,0.572625501028,1
0.0300000,0.584018252659,1
0.0305000,0.600773926001,1
0.0310000,0.621024855068,1
0.0315000,0.642245801936,1
0.0320000,0.661714899468,1
0.0325000,0.677010453629,1
0.0330000,0.686452988446,1
0.0335000,0.689411904418,1
0.0340000,0.686420815785,1
0.0345000,0.679080529141,1
0.0350000,0.669767360273,1
0.0355000,0.661199992473,1
0.0360000,0.655943881756,1
0.0365000,0.655943605856,1
0.0370000,0.662168456935,1
0.0375000,0.674435922192,1
0.0380000,0.691445249714,1
